,Cat
,unique
CommCode,
AFK,'CC'
BDL,'CU','CC','CN'
BTF,'CC','CN'
CEN,'CC','CN'
CLI,'CN'
CLR,'CU','CC','CN'
CMT,'CN'
COT,'CU','CC','CN'
DRA,'CU','CC','CN'
EAG,'CC'
FRM,'CU','CC','CN'
FRR,'CC','CN'
HAR,'CC','CN'
HER,'CC','CN'
HGH,'CN'
HOL,'CC'
KAY,'CU','CC','CN'
KMT,'CC','CN'
LAY,'CU','CC'
LEH,'CU','CC','CN'
LIN,'CC'
MID,'CU','CC','CN'
MLC,'CC','CN'
MMT,'CC','CN'
MUR,'CU','CC','CN'
NOG,'CC','CN'
NSL,'CC','CN'
OGD,'CM','CC','CN'
ORE,'CU','CC','CN'
PAY,'CC'
PGR,'CC','CN'
PLN,'CN'
PVO,'CU','CC'
PVW,'CC'
ROY,'CC','CN'
RVD,'CC'
RVT,'CC'
SAN,'CU','CC','CN'
SAR,'CC'
SFK,'CC','CN'
SJC,'CU','CC','CN'
SLC,'CM','CU','CC','CN'
SLM,'CN'
SOG,'CC','CN'
SPV,'CC'
SSL,'CC','CN'
SUN,'CC'
SYR,'CC','CN'
TAY,'CU','CC','CN'
VIN,'CC'
WBO,'CC','CN'
WCR,'CC','CN'
WHV,'CC'
WJC,'CC','CN'
WMT,'CN'
WPT,'CC','CN'
WTR,'CC'
WVC,'CU','CC','CN'
